// Created by: [Your Name]
// Date: [Date]
category_cn,category_en,us_indicator_name_cn,us_indicator_name_en,china_indicator_name_cn,china_indicator_name_en,us_data_source,us_data_url,china_data_source,china_data_url,indicator_type,publication_frequency,importance,level,notes
经济增长,Economic Growth,GDP增长率,GDP Growth Rate,GDP增长率,GDP Growth Rate,BEA Official Website,https://www.bea.gov/data/gdp/gross-domestic-product,National Bureau of Statistics,http://www.stats.gov.cn/sj/,同步指标,季度/年度,★★★★★,核心,
就业市场,Labor Market,非农就业人口变化,Non-farm Payroll Change,城镇调查失业率,Urban Surveyed Unemployment Rate,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/empsit.toc.htm,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,滞后指标,月度,★★★★★,核心,
就业市场,Labor Market,失业率,Unemployment Rate,城镇新增就业人数,Urban New Employment,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/empsit.toc.htm,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,滞后指标,月度,★★★★☆,核心,
物价水平,Price Level,消费者价格指数,Consumer Price Index (CPI),居民消费价格指数,Consumer Price Index (CPI),U.S. Bureau of Labor Statistics,https://www.bls.gov/cpi/,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,滞后指标,月度,★★★★★,核心,
物价水平,Price Level,个人消费支出,Personal Consumption Expenditures (PCE),,,BEA Official Website,https://www.bea.gov/data/personal-consumption-expenditures-price-index,,,滞后指标,月度,★★★★☆,核心,
物价水平,Price Level,生产者价格指数,Producer Price Index (PPI),工业生产者价格指数,Producer Price Index (PPI),U.S. Bureau of Labor Statistics,https://www.bls.gov/ppi/,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,滞后指标,月度,★★★★☆,核心,
消费支出,Consumer Spending,零售销售数据,Retail Sales,社会消费品零售总额,Total Retail Sales of Consumer Goods,U.S. Census Bureau,https://www.census.gov/retail/index.html,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,同步指标,月度,★★★★★,核心,
货币政策,Monetary Policy,联邦基金利率,Federal Funds Rate,贷款市场报价利率,Loan Prime Rate (LPR),Federal Reserve,https://www.federalreserve.gov/monetarypolicy/openmarket.htm,People's Bank of China,http://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125440/index.html,滞后指标,不定期,★★★★★,核心,
债券市场,Bond Market,10年期国债收益率,10-Year Treasury Yield,10年期国债收益率,10-Year Treasury Yield,U.S. Treasury,https://home.treasury.gov/resource-center/data-chart-center/interest-rates,China Bond Information Network,https://www.chinabond.com.cn/,先行指标,每日,★★★★☆,核心,
经济活动,Economic Activity,ISM制造业PMI,ISM Manufacturing PMI,官方制造业PMI,Official Manufacturing PMI,ISM Official Website,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,先行指标,月度,★★★★★,核心,
经济活动,Economic Activity,ISM非制造业PMI,ISM Non-Manufacturing PMI,财新服务业PMI,Caixin Services PMI,ISM Official Website,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/,Caixin Media,https://www.caixin.com/economy/,先行指标,月度,★★★★☆,核心,
消费信心,Consumer Confidence,消费者信心指数,Consumer Confidence Index,消费者信心指数,Consumer Confidence Index,University of Michigan,http://www.sca.isr.umich.edu/,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,先行指标,月度,★★★★☆,核心,
房地产,Real Estate,新屋开工,Housing Starts,房地产销售面积,Real Estate Sales Area,U.S. Census Bureau,https://www.census.gov/construction/nrc/index.html,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,先行指标,月度,★★★★☆,核心,
房地产,Real Estate,新屋销售,New Home Sales,房地产销售额,Real Estate Sales Amount,U.S. Census Bureau,https://www.census.gov/construction/nrs/index.html,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,先行指标,月度,★★★★☆,核心,
房地产,Real Estate,S&P Case-Shiller房价指数,S&P Case-Shiller Home Price Index,70城市房价指数,70 Cities House Price Index,S&P Dow Jones Indices,https://www.spglobal.com/spdji/en/index-family/indicators/sp-corelogic-case-shiller/,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,滞后指标,月度,★★★★☆,核心,
对外贸易,Foreign Trade,贸易余额,Trade Balance,进出口总额及贸易顺差,Import-Export Volume and Trade Surplus,U.S. Census Bureau,https://www.census.gov/foreign-trade/index.html,General Administration of Customs,http://www.customs.gov.cn/customs/302249/zfxxgk/2799825/302274/index.html,同步指标,月度,★★★★☆,核心,
工业生产,Industrial Production,工业产出,Industrial Production,工业增加值,Industrial Value Added,Federal Reserve,https://www.federalreserve.gov/releases/g17/current/default.htm,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,同步指标,月度,★★★★☆,核心,
投资活动,Investment Activity,资本支出,Capital Expenditure (CAPEX),固定资产投资,Fixed Asset Investment,U.S. Department of Commerce,https://www.census.gov/manufacturing/m3/index.html,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,同步指标,月度/季度,★★★★☆,核心,
制造业,Manufacturing,耐用品订单,Durable Goods Orders,,,U.S. Census Bureau,https://www.census.gov/manufacturing/m3/index.html,,,先行指标,月度,★★★☆☆,次级,
就业市场,Labor Market,初次申请失业金人数,Initial Jobless Claims,,,U.S. Department of Labor,https://www.dol.gov/ui/data.pdf,,,先行指标,周度,★★★★☆,次级,
生产成本,Production Costs,单位劳动力成本,Unit Labor Costs,,,U.S. Bureau of Labor Statistics,https://www.bls.gov/productivity/,,,滞后指标,季度,★★★☆☆,次级,
企业投资,Business Investment,核心资本品订单,Core Capital Goods Orders,,,U.S. Census Bureau,https://www.census.gov/manufacturing/m3/index.html,,,先行指标,月度,★★★☆☆,次级,
经济状况,Economic Conditions,美联储褐皮书报告,Fed Beige Book,,,Federal Reserve,https://www.federalreserve.gov/monetarypolicy/beigebook/default.htm,,,同步指标,八周一次,★★★☆☆,次级,
国际收支,Balance of Payments,经常账户余额,Current Account Balance,经常账户余额,Current Account Balance,BEA Official Website,https://www.bea.gov/data/intl-trade-investment/international-transactions,State Administration of Foreign Exchange,https://www.safe.gov.cn/safe/tjsj/index.html,滞后指标,季度,★★★☆☆,次级,
货币供应,Money Supply,,,广义货币供应量(M2),Broad Money Supply (M2),,,People's Bank of China,http://www.pbc.gov.cn/diaochatongjisi/116219/index.html,先行指标,月度,★★★★☆,次级,
信贷扩张,Credit Expansion,,,社会融资规模,Total Social Financing,,,People's Bank of China,http://www.pbc.gov.cn/diaochatongjisi/116219/index.html,先行指标,月度,★★★★☆,次级,
信贷活动,Credit Activity,,,新增人民币贷款,New RMB Loans,,,People's Bank of China,http://www.pbc.gov.cn/diaochatongjisi/116219/index.html,先行指标,月度,★★★★☆,次级,
政府财政,Government Finance,联邦预算,Federal Budget,财政收支数据,Fiscal Revenue and Expenditure,U.S. Treasury,https://fiscal.treasury.gov/reports-statements/,Ministry of Finance,http://www.mof.gov.cn/zhengwuxinxi/caizhengshuju/,滞后指标,月度,★★★☆☆,次级,
外汇储备,Foreign Exchange Reserves,,,外汇储备规模,Foreign Exchange Reserves,,,State Administration of Foreign Exchange,https://www.safe.gov.cn/safe/tjsj/index.html,同步指标,月度,★★★☆☆,次级,
汽车市场,Automobile Market,汽车销售速度,Vehicle Sales Rate,汽车销售数据,Vehicle Sales Data,U.S. Automotive Data,https://www.motorintelligence.com/,China Association of Automobile Manufacturers,http://www.caam.org.cn/,同步指标,月度,★★★☆☆,次级,
企业盈利,Corporate Profits,企业利润率,Corporate Profit Margins,规模以上工业企业利润,Profits of Industrial Enterprises above Designated Size,BEA Official Website,https://www.bea.gov/data/income-saving/corporate-profits,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,滞后指标,季度/月度,★★★☆☆,次级,
政府债务,Government Debt,国债发行,Treasury Issuance,地方政府债券发行,Local Government Bond Issuance,U.S. Treasury,https://www.treasurydirect.gov/govt/reports/pd/pd_debtposactrpt.htm,Ministry of Finance,http://www.mof.gov.cn/zhuantihuigu/dfzgl/,同步指标,不定期,★★★☆☆,次级,
居民收入,Household Income,个人收入与支出,Personal Income and Outlays,居民收入和支出,Household Income and Expenditure,BEA Official Website,https://www.bea.gov/data/income-saving/personal-income,National Bureau of Statistics,http://www.stats.gov.cn/was5/web/search?channelid=288041,同步指标,月度/年度,★★★★☆,次级,
双边贸易,Bilateral Trade,美中贸易平衡,US-China Trade Balance,中美贸易总额,China-US Trade Volume,U.S. Census Bureau,https://www.census.gov/foreign-trade/balance/c5700.html,China Customs,http://www.customs.gov.cn/,同步指标,月度,★★★★★,交叉,
双边贸易,Bilateral Trade,美中贸易逆差,US-China Trade Deficit,中美贸易顺差,China-US Trade Surplus,U.S. Census Bureau,https://www.census.gov/foreign-trade/balance/c5700.html,China Customs,http://www.customs.gov.cn/,同步指标,月度,★★★★★,交叉,
汇率,Exchange Rate,人民币兑美元汇率,Chinese Yuan to U.S. Dollar,人民币兑美元汇率,RMB to USD Exchange Rate,Federal Reserve,https://www.federalreserve.gov/releases/h10/current/,China Foreign Exchange Trade System,https://www.chinamoney.com.cn/,先行指标,每日,★★★★★,交叉,
